"Invalid payment method","Invalid payment method: %s"
"Invalid order","Invalid order"
"A Package Of Online Goods","A Package Of Online Goods"
"Payment Method: %1","Payment Method: %1"
"Simulate paid, update the note only.","Simulate paid, update the note only."
"ecpay_payment_text_credit","Credit"
"ecpay_payment_text_credit_3","Credit(3 Installments)"
"ecpay_payment_text_credit_6","Credit(6 Installments)"
"ecpay_payment_text_credit_12","Credit(12 Installments)"
"ecpay_payment_text_credit_18","Credit(18 Installments)"
"ecpay_payment_text_credit_24","Credit(24 Installments)"
"ecpay_payment_text_webatm","WEB-ATM"
"ecpay_payment_text_atm","ATM"
"ecpay_payment_text_cvs","CVS"
"ecpay_payment_text_barcode","BARCODE"
"ecpay_payment_order_comment_payment_result","Payment Result : (%s)%s"
"ecpay_payment_order_comment_atm","Getting Code Result : (%s)%s, Bank Code : %s, Virtual Account : %s, Deadline : %s"
"ecpay_payment_order_comment_cvs","Getting Code Result : (%s)%s, Trade Code : %s, Deadline : %s"
"ecpay_payment_order_comment_barcode","Getting Code Result : (%s)%s, Payment Deadline : %s, BARCODE 1 : %s, BARCODE 2 : %s, BARCODE 3 : %s"
"ecpay_payment_order_comment_payment_failure","Paid Failed, Error : %s"